gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	393.62	475.08	387.24	1136.39	1301.18	3550.31	70.05	154.43	14.06	54.78	88.19	14.19	118.82	190.31	16.11	9.45	18.66	4.78	9.45	1.98	5.63	0.03	0.04	
0.00	317.88	410.34	327.28	932.40	1291.17	2954.03	47.81	129.48	11.02	36.86	84.55	13.34	97.09	176.62	13.92	8.27	16.51	5.08	10.32	2.04	4.90	0.03	0.04	
0.00	133.12	183.41	130.26	389.78	546.61	1205.60	21.46	56.92	5.34	23.07	39.13	9.58	43.73	76.03	7.75	5.35	15.12	5.37	12.13	1.92	4.15	0.02	0.02	
0.00	91.63	121.57	90.47	261.87	364.77	823.24	16.18	36.70	4.19	23.39	29.13	8.07	41.49	49.23	7.51	3.05	12.99	5.39	13.86	2.15	3.60	0.02	0.01	
0.00	41.22	50.22	35.50	137.84	171.85	308.34	10.15	15.28	4.50	15.02	15.38	7.27	32.57	23.14	9.13	3.54	11.54	5.08	15.04	2.35	3.16	0.01	0.01	
0.00	29.90	28.06	18.88	99.12	163.67	158.29	9.41	9.46	3.55	12.65	10.50	6.15	25.35	15.19	5.68	3.66	9.85	4.40	15.19	2.55	2.89	0.01	0.01	
0.00	28.56	20.33	15.89	78.31	120.38	120.41	10.52	9.82	4.18	13.72	8.74	5.41	24.22	12.03	7.53	3.06	8.55	3.42	14.76	2.80	2.49	0.01	0.01	
0.00	29.90	18.56	12.05	72.69	127.18	68.23	7.99	7.71	4.09	15.64	8.36	4.97	24.08	12.61	7.07	2.77	8.83	2.34	14.40	2.99	2.04	0.01	0.01	
0.00	26.14	15.31	11.92	59.01	133.54	58.06	7.94	7.12	4.46	12.86	7.24	4.22	23.46	12.05	7.18	2.86	9.29	1.20	14.30	3.01	1.95	0.01	0.01	
0.00	27.61	17.16	11.34	55.28	119.86	53.54	7.22	7.48	4.69	16.15	8.08	3.49	20.67	11.60	7.31	2.69	9.37	0.45	13.96	2.85	2.15	0.01	0.02	
0.00	24.40	13.17	8.84	41.40	112.68	42.83	9.68	7.32	4.51	14.63	7.30	2.89	22.64	12.75	7.31	2.57	8.85	0.37	13.14	2.51	2.45	0.01	0.02	
0.00	32.19	14.29	9.74	67.63	130.74	40.87	8.27	5.95	4.26	14.59	6.64	2.82	29.02	12.66	8.35	3.12	7.80	0.45	12.04	2.00	2.52	0.01	0.02	
0.00	32.34	14.72	14.47	93.40	111.87	104.68	9.88	6.96	4.02	17.42	7.66	2.95	24.10	11.34	6.91	3.43	8.65	0.32	11.41	1.51	2.26	0.01	0.02	
0.00	68.47	63.08	51.98	284.75	138.85	483.24	16.66	20.55	3.97	19.70	15.11	3.85	31.73	26.16	7.84	3.96	8.80	0.34	11.67	1.15	2.29	0.01	0.02	
0.00	37.83	27.68	12.38	91.35	126.31	81.34	10.33	9.36	2.36	20.11	10.75	3.42	30.75	13.21	9.21	4.56	9.59	0.42	12.03	0.69	2.55	0.01	0.02	
0.00	46.39	69.41	46.18	247.89	127.01	427.19	13.57	22.37	1.66	18.55	17.50	4.15	22.64	26.64	9.66	4.55	8.87	0.30	11.47	0.21	2.79	0.01	0.02	
0.00	39.20	36.70	19.91	103.03	124.01	166.77	11.12	10.95	1.13	17.24	9.93	3.82	22.03	17.08	10.73	4.74	7.56	0.31	9.18	0.21	2.12	0.01	0.03	
0.00	28.02	17.96	10.77	43.99	110.68	47.19	8.74	5.99	0.94	16.35	8.49	3.12	18.70	11.54	9.70	4.60	6.78	0.32	6.72	0.16	1.98	0.01	0.02	
0.00	35.89	26.21	11.15	65.28	129.44	53.88	7.41	7.12	0.83	18.79	11.52	2.39	27.70	15.55	10.10	4.12	5.55	0.34	5.09	0.16	2.15	0.01	0.03	
0.00	34.30	23.39	12.11	51.96	141.22	58.04	6.84	4.55	0.72	20.29	10.26	1.98	20.26	16.61	10.33	3.98	5.89	0.39	3.41	0.15	1.25	0.01	0.03	
0.00	38.54	31.14	14.18	67.79	173.05	72.69	6.93	5.61	0.82	19.73	8.68	1.54	24.45	22.00	14.23	3.79	4.67	0.45	1.74	0.17	0.51	0.02	0.03	
0.00	49.62	42.77	12.11	171.86	290.04	68.69	7.60	6.49	0.98	29.73	8.42	1.47	22.84	21.70	13.01	3.71	6.82	0.51	0.72	0.17	0.23	0.02	0.04	
0.00	55.27	37.69	14.16	180.17	339.05	85.11	7.66	6.52	0.77	32.53	8.98	1.79	27.30	22.14	11.80	3.65	7.97	0.63	0.76	0.21	0.22	0.02	0.04	
0.00	47.67	29.19	12.41	84.75	193.80	83.49	7.07	6.10	0.71	27.20	6.82	1.47	21.49	18.21	10.54	3.22	7.07	0.62	0.63	0.26	0.14	0.02	0.03	
0.00	46.58	30.12	11.95	84.28	189.27	90.21	7.10	7.30	0.86	26.91	7.20	1.70	24.17	18.79	8.93	3.17	6.82	0.79	0.48	0.30	0.16	0.03	0.03	
0.00	41.85	27.34	15.09	100.32	183.68	90.40	6.98	6.95	0.96	23.92	8.78	1.70	19.37	15.06	9.09	3.02	7.39	0.95	0.43	0.31	0.19	0.04	0.02	
0.00	51.98	29.40	15.44	102.56	264.83	110.45	7.39	9.47	0.88	26.45	8.44	1.68	25.73	15.09	7.63	3.42	7.56	0.92	0.53	0.47	0.25	0.03	0.02	
0.00	43.41	24.36	15.25	99.21	169.97	111.17	7.84	12.15	1.48	32.02	6.82	1.61	21.57	11.94	6.87	4.55	11.75	1.20	0.50	0.94	0.29	0.02	0.03	
0.00	49.70	27.59	16.65	92.79	200.73	116.73	8.74	17.81	2.65	33.67	7.94	1.61	20.03	12.12	7.23	6.65	12.43	3.04	0.48	1.65	0.29	0.04	0.03	
0.00	49.94	28.85	17.16	89.61	208.92	113.95	12.67	13.13	3.07	30.48	10.28	2.13	26.48	13.66	7.27	7.57	11.00	4.59	0.44	1.79	0.27	0.04	0.03	
0.00	59.37	27.62	14.81	141.72	224.67	109.80	16.04	13.75	2.36	51.55	11.35	2.27	27.05	13.70	8.94	7.56	13.54	4.28	0.75	2.09	0.29	0.05	0.03	
0.00	67.35	34.01	15.32	92.71	237.18	136.19	15.86	16.93	3.58	39.78	12.44	2.39	30.79	14.39	7.92	11.03	17.16	4.56	0.52	2.08	0.29	0.11	0.05	
0.00	86.17	38.52	18.72	139.43	300.67	162.06	19.64	14.67	4.28	56.60	18.42	3.94	32.90	13.99	8.23	14.82	18.24	5.32	0.82	1.99	0.33	0.21	0.05	
0.00	92.85	53.95	27.25	106.50	331.77	243.86	18.24	23.24	3.02	47.85	18.35	3.86	41.45	18.97	11.21	10.96	22.46	9.93	0.86	2.28	0.38	0.16	0.08	
0.00	98.80	78.18	42.43	199.64	324.94	408.79	16.03	31.43	4.03	49.87	21.70	4.97	47.22	29.20	11.01	11.84	20.24	14.96	0.79	2.87	0.40	0.17	0.06	
0.00	109.11	116.92	80.90	293.73	329.93	765.55	17.68	41.97	6.97	47.20	23.11	5.12	51.84	51.25	13.03	17.26	20.42	14.64	0.80	3.12	0.42	0.10	0.06	
0.00	157.58	146.26	123.32	492.04	359.54	1219.29	37.92	49.69	10.63	48.88	22.79	5.81	55.39	64.34	17.06	17.59	17.65	13.82	1.05	3.69	0.52	0.03	0.05	
0.00	234.56	191.85	198.19	780.16	406.77	1958.37	55.94	63.26	15.81	96.45	28.02	7.97	82.86	82.51	20.82	19.35	27.05	14.31	1.71	4.14	0.87	0.04	0.06	
0.00	136.15	130.92	89.74	400.56	239.16	898.64	25.76	41.98	9.40	63.06	20.69	6.01	94.69	57.78	16.74	19.80	20.47	13.47	1.33	4.32	0.45	0.03	0.07	
0.00	143.92	91.29	79.34	381.82	276.55	765.26	24.93	28.63	8.33	63.01	20.92	8.01	102.32	46.60	18.12	17.26	26.22	13.21	1.46	5.02	0.60	0.02	0.09	
0.00	116.02	138.77	85.06	322.11	179.17	825.98	20.89	43.76	5.77	68.86	21.81	5.68	57.94	62.06	13.96	15.63	21.46	14.08	1.57	5.79	0.38	0.02	0.09	
0.00	99.11	88.37	50.53	213.37	173.67	447.62	16.63	30.78	5.19	43.83	17.90	6.09	61.86	45.73	14.37	13.65	21.16	14.50	1.52	6.49	0.40	0.01	0.09	
0.00	91.08	161.75	111.30	346.71	255.74	1027.72	18.37	54.87	5.11	34.11	31.36	8.23	51.41	70.87	16.10	10.90	18.14	14.77	1.16	6.90	0.46	0.01	0.07	
0.00	106.10	330.05	234.82	691.22	410.82	2260.87	34.84	118.39	7.76	30.30	56.00	11.58	34.47	134.57	20.24	9.52	17.63	14.84	1.42	7.00	0.55	0.01	0.08	
0.00	195.31	384.31	295.23	954.83	508.18	2963.82	54.44	139.37	15.35	81.07	68.12	17.57	49.79	158.21	23.49	9.27	17.16	14.38	1.55	6.80	0.76	0.01	0.07	
0.00	180.59	351.15	265.94	825.78	527.15	2741.20	48.04	125.21	15.63	35.99	57.30	13.90	52.94	149.36	20.45	9.81	16.10	13.44	1.13	6.98	0.67	0.01	0.06	
0.00	187.33	275.55	219.74	693.83	455.19	2256.60	44.99	95.56	13.28	71.09	45.37	12.08	52.03	117.97	19.96	10.80	17.07	12.12	1.59	7.43	0.68	0.01	0.06	
0.00	161.35	193.96	160.21	533.17	410.21	1639.04	33.78	73.05	10.18	72.35	33.34	9.88	44.61	84.24	19.85	11.57	17.40	10.53	1.35	7.51	0.51	0.01	0.06	
0.00	126.20	152.02	122.70	382.72	307.40	1184.70	25.18	51.81	9.72	64.63	30.00	9.70	39.27	73.29	14.54	13.29	16.35	9.30	1.24	7.42	0.41	0.01	0.06	
0.00	123.78	125.12	87.44	309.24	318.91	902.08	17.55	42.45	9.75	69.12	25.35	8.89	35.94	52.80	12.57	14.27	16.21	8.92	1.41	7.32	0.37	0.01	0.07	
0.00	129.14	144.51	114.27	300.68	375.98	1073.43	22.01	49.71	10.22	69.79	31.87	10.16	38.58	58.39	15.05	15.11	17.96	9.34	1.53	7.20	0.43	0.01	0.08	
0.00	121.76	90.97	77.40	250.54	277.24	721.37	20.08	31.60	10.23	70.31	18.10	8.24	38.17	38.54	12.52	15.51	17.86	9.85	1.32	6.90	0.37	0.01	0.07	
0.00	61.78	72.05	54.89	146.26	188.87	506.16	12.94	25.30	10.02	32.71	13.44	5.87	29.95	30.99	11.81	15.76	12.66	9.93	0.75	6.36	0.26	0.00	0.05	
0.00	56.74	55.49	42.88	146.58	191.45	382.52	11.56	18.58	9.59	37.98	13.46	8.05	25.64	27.33	9.67	15.70	15.43	9.84	0.59	5.74	0.33	0.00	0.05	
0.00	48.91	59.28	41.09	115.80	147.11	358.64	12.07	20.71	9.54	29.69	12.35	7.02	25.66	26.93	10.20	15.08	14.66	10.03	0.55	4.97	0.30	0.01	0.05	
0.00	50.26	32.32	22.12	88.86	158.15	180.72	11.84	9.74	8.56	29.09	10.39	5.86	30.11	18.74	8.24	13.50	10.76	10.68	0.43	4.24	0.23	0.01	0.03	
0.00	45.33	29.15	15.25	90.86	161.66	87.86	11.51	8.40	7.35	44.52	9.71	4.03	22.97	17.25	7.25	11.88	7.73	11.49	0.62	3.62	0.18	0.01	0.02	
0.00	45.12	28.27	15.08	88.28	151.00	65.50	10.76	9.55	6.24	28.35	8.95	4.70	26.79	16.00	8.75	10.14	9.69	12.29	0.38	3.24	0.20	0.01	0.03	
0.00	53.55	30.74	14.57	108.11	165.27	65.09	10.15	8.37	4.98	33.92	10.88	4.81	27.75	20.29	10.07	8.18	9.88	13.08	0.49	3.12	0.23	0.02	0.03	
0.00	30.86	28.32	12.15	76.08	119.71	70.06	9.90	7.32	3.85	14.37	5.56	2.44	26.06	24.36	9.59	6.58	4.03	13.68	0.35	3.08	0.18	0.03	0.02	
0.00	28.84	20.30	8.95	69.28	100.85	47.06	9.98	7.42	2.94	9.90	4.02	1.73	20.67	16.48	7.21	6.35	3.38	14.05	0.25	2.99	0.14	0.03	0.01	
0.00	33.26	33.10	11.46	94.41	129.83	80.82	12.43	10.34	2.99	9.71	5.08	2.01	28.74	26.15	9.51	6.93	3.41	14.07	0.35	2.83	0.17	0.05	0.02	
0.00	39.69	48.08	18.16	131.01	167.11	130.89	14.10	16.02	3.87	11.08	6.92	2.24	37.34	40.36	13.52	8.76	3.35	13.39	0.37	2.72	0.15	0.11	0.02	
0.00	34.50	43.08	13.11	61.26	109.99	100.91	9.82	6.10	2.78	8.24	4.99	1.60	33.47	37.13	12.97	6.51	2.92	11.06	0.30	2.25	0.16	0.04	0.01	
0.00	32.43	35.36	10.51	102.56	135.76	77.99	10.54	12.48	3.15	8.19	4.40	1.23	28.63	31.71	9.05	7.09	3.21	9.20	0.28	2.24	0.20	0.08	0.01	
0.00	57.66	91.59	19.94	125.67	201.46	188.56	13.65	12.23	3.47	10.18	5.51	1.38	60.89	79.18	20.64	7.63	4.11	8.17	0.38	2.83	0.22	0.08	0.02	
0.00	62.31	98.75	24.38	175.75	217.44	250.21	18.43	17.40	4.74	7.89	6.33	1.40	68.95	88.74	25.76	8.23	3.65	7.04	0.44	3.57	0.20	0.03	0.02	
0.00	35.09	52.67	17.05	65.09	92.64	177.45	9.41	7.84	2.29	7.48	5.70	1.25	35.09	44.47	13.18	5.96	3.55	4.72	0.33	1.96	0.21	0.02	0.01	
0.00	39.86	61.50	28.56	81.11	134.77	234.73	12.57	10.66	1.90	7.41	7.82	1.30	34.40	46.76	11.50	4.80	3.88	2.55	0.40	0.95	0.22	0.03	0.01	
0.00	71.02	131.15	99.66	179.46	297.99	929.96	25.89	33.92	4.37	14.26	23.50	2.85	42.08	69.75	16.84	4.51	4.78	0.53	0.72	0.44	0.35	0.02	0.02	
0.00	81.41	186.27	136.11	219.48	413.40	1214.24	27.78	51.27	5.10	14.64	32.39	3.86	35.38	84.77	11.66	3.68	4.79	0.55	0.79	0.42	0.49	0.02	0.03	
0.00	46.97	98.29	74.25	126.15	217.75	659.24	14.20	28.67	2.74	8.52	18.68	2.39	21.32	42.01	7.81	2.33	3.67	0.44	0.89	0.30	0.33	0.01	0.04	
0.00	52.36	127.52	97.80	161.08	290.12	867.55	18.42	36.92	3.63	11.04	24.11	3.00	19.87	55.61	8.13	2.67	4.19	0.64	0.96	0.35	0.40	0.02	0.04	
0.00	102.47	219.13	167.36	282.28	502.39	1493.67	31.94	62.73	5.63	16.20	42.25	5.26	38.18	95.43	13.92	3.45	4.96	0.74	1.02	0.57	0.76	0.02	0.05	
0.00	90.90	194.24	142.69	231.47	442.82	1294.60	27.77	53.29	4.74	12.64	38.49	5.07	28.16	84.82	9.92	2.72	3.60	0.55	0.69	0.48	0.61	0.02	0.03	
0.00	53.55	106.00	80.01	153.77	256.21	722.30	17.67	30.39	2.70	7.55	21.72	2.86	19.34	46.88	6.80	2.62	2.16	0.40	0.43	0.30	0.35	0.01	0.02	
0.00	84.77	173.83	131.86	221.68	420.35	1189.64	26.21	49.69	4.11	11.77	36.08	4.49	28.54	74.40	9.61	3.35	3.11	0.36	0.65	0.40	0.50	0.01	0.02	
0.00	139.11	277.58	205.72	384.89	639.88	1857.85	39.09	77.55	5.87	20.16	60.38	7.63	39.39	119.94	16.62	5.97	5.65	0.39	1.72	0.53	0.94	0.02	0.06	
