gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	156.04	144.82	122.11	487.22	356.01	1207.33	37.55	49.20	10.53	48.40	22.57	5.75	54.85	63.71	16.89	17.42	17.48	13.68	1.04	3.65	0.52	0.03	0.05	
0.00	232.26	189.97	196.25	772.51	402.79	1939.17	55.39	62.64	15.66	95.50	27.75	7.89	82.05	81.70	20.62	19.16	26.78	14.17	1.69	4.10	0.86	0.04	0.06	
0.00	134.82	129.63	88.86	396.63	236.81	889.83	25.50	41.57	9.31	62.44	20.49	5.95	93.76	57.21	16.57	19.61	20.27	13.34	1.32	4.28	0.45	0.03	0.07	
0.00	142.51	90.40	78.56	378.08	273.84	757.76	24.69	28.35	8.24	62.39	20.71	7.93	101.32	46.15	17.94	17.09	25.96	13.09	1.45	4.97	0.59	0.02	0.09	
0.00	114.88	137.41	84.23	318.96	177.41	817.88	20.68	43.33	5.71	68.18	21.60	5.63	57.37	61.45	13.82	15.48	21.25	13.94	1.55	5.73	0.38	0.02	0.09	
0.00	98.13	87.51	50.03	211.28	171.97	443.23	16.47	30.48	5.14	43.40	17.73	6.03	61.25	45.28	14.23	13.51	20.95	14.35	1.50	6.43	0.40	0.01	0.09	
0.00	90.18	160.16	110.21	343.31	253.24	1017.64	18.19	54.33	5.06	33.78	31.05	8.15	50.91	70.18	15.94	10.79	17.96	14.63	1.15	6.83	0.46	0.01	0.07	
0.00	105.06	326.81	232.52	684.44	406.79	2238.71	34.50	117.23	7.69	30.00	55.46	11.47	34.14	133.25	20.04	9.42	17.45	14.69	1.40	6.94	0.54	0.01	0.08	
0.00	193.39	380.55	292.34	945.47	503.20	2934.77	53.91	138.01	15.20	80.28	67.45	17.40	49.30	156.66	23.26	9.18	16.99	14.24	1.54	6.74	0.75	0.01	0.06	
0.00	178.82	347.71	263.33	817.69	521.98	2714.32	47.57	123.99	15.48	35.64	56.74	13.76	52.42	147.90	20.25	9.72	15.94	13.31	1.12	6.91	0.66	0.01	0.06	
0.00	185.50	272.85	217.59	687.03	450.73	2234.47	44.55	94.62	13.15	70.39	44.92	11.96	51.52	116.81	19.76	10.69	16.90	12.00	1.57	7.36	0.67	0.01	0.06	
0.00	159.77	192.06	158.64	527.94	406.19	1622.97	33.45	72.34	10.08	71.64	33.01	9.79	44.18	83.42	19.65	11.46	17.23	10.42	1.34	7.44	0.50	0.01	0.06	
0.00	124.96	150.53	121.49	378.97	304.38	1173.09	24.93	51.30	9.62	64.00	29.71	9.61	38.89	72.57	14.40	13.16	16.19	9.21	1.22	7.34	0.41	0.01	0.06	
0.00	122.56	123.90	86.58	306.21	315.79	893.24	17.38	42.04	9.65	68.45	25.10	8.80	35.58	52.29	12.45	14.13	16.05	8.84	1.39	7.25	0.37	0.01	0.07	
0.00	127.87	143.09	113.14	297.73	372.30	1062.90	21.80	49.22	10.12	69.10	31.55	10.06	38.20	57.81	14.90	14.96	17.79	9.25	1.51	7.13	0.43	0.01	0.07	
0.00	120.57	90.08	76.65	248.08	274.52	714.30	19.88	31.29	10.13	69.63	17.93	8.16	37.80	38.16	12.40	15.35	17.69	9.75	1.30	6.84	0.36	0.01	0.07	
0.00	61.17	71.34	54.35	144.82	187.02	501.19	12.81	25.05	9.92	32.39	13.31	5.82	29.66	30.68	11.70	15.60	12.53	9.83	0.74	6.30	0.26	0.00	0.05	
0.00	56.18	54.95	42.46	145.14	189.57	378.77	11.45	18.40	9.49	37.60	13.33	7.97	25.39	27.06	9.57	15.54	15.27	9.74	0.58	5.68	0.33	0.00	0.05	
0.00	48.43	58.70	40.68	114.67	145.67	355.12	11.95	20.51	9.44	29.40	12.23	6.95	25.41	26.66	10.10	14.94	14.52	9.93	0.55	4.92	0.30	0.01	0.05	
0.00	49.76	32.00	21.90	87.98	156.60	178.95	11.72	9.65	8.47	28.80	10.29	5.81	29.82	18.56	8.16	13.36	10.66	10.57	0.43	4.20	0.23	0.01	0.03	
0.00	44.88	28.86	15.10	89.97	160.08	87.00	11.40	8.32	7.28	44.09	9.61	3.99	22.74	17.08	7.18	11.77	7.66	11.38	0.61	3.58	0.18	0.01	0.02	
0.00	44.68	27.99	14.93	87.41	149.52	64.86	10.66	9.46	6.18	28.08	8.86	4.65	26.53	15.85	8.67	10.04	9.59	12.17	0.37	3.21	0.20	0.01	0.02	
0.00	53.02	30.44	14.42	107.05	163.65	64.45	10.05	8.29	4.93	33.59	10.77	4.77	27.48	20.09	9.97	8.10	9.78	12.95	0.48	3.09	0.22	0.02	0.03	
0.00	30.56	28.04	12.03	75.34	118.53	69.37	9.81	7.25	3.81	14.23	5.51	2.42	25.81	24.12	9.50	6.51	3.99	13.55	0.34	3.05	0.18	0.03	0.02	
0.00	28.56	20.10	8.87	68.60	99.86	46.60	9.88	7.34	2.91	9.81	3.98	1.71	20.46	16.31	7.14	6.29	3.35	13.91	0.25	2.96	0.14	0.03	0.01	
0.00	32.93	32.78	11.35	93.49	128.56	80.03	12.31	10.24	2.96	9.62	5.03	1.99	28.46	25.89	9.42	6.86	3.38	13.93	0.34	2.81	0.16	0.05	0.02	
0.00	39.30	47.61	17.98	129.72	165.47	129.61	13.97	15.86	3.83	10.97	6.85	2.22	36.97	39.97	13.39	8.67	3.31	13.25	0.37	2.69	0.15	0.11	0.02	
0.00	34.16	42.66	12.98	60.66	108.91	99.92	9.73	6.04	2.75	8.16	4.94	1.58	33.14	36.77	12.84	6.45	2.90	10.95	0.30	2.22	0.16	0.04	0.01	
0.00	32.11	35.01	10.41	101.55	134.43	77.23	10.43	12.35	3.12	8.11	4.36	1.21	28.35	31.40	8.97	7.03	3.17	9.11	0.28	2.22	0.19	0.08	0.01	
0.00	57.09	90.69	19.75	124.44	199.49	186.71	13.51	12.11	3.43	10.08	5.45	1.37	60.29	78.40	20.44	7.55	4.07	8.09	0.37	2.80	0.22	0.08	0.02	
