gaitPhase	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_angle_l_moment	ankle_angle_r_moment	ankle_angle_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	mtp_angle_r_moment	mtp_angle_l_moment	
0.00	244.69	309.80	270.31	486.76	1074.16	2329.36	39.41	100.67	7.33	24.03	54.00	9.17	74.02	133.75	18.97	5.54	14.05	6.56	13.46	0.70	6.26	0.01	0.03	
0.00	422.20	488.24	453.34	797.18	1765.81	3880.42	74.56	159.57	13.84	55.10	79.96	13.63	113.30	209.97	26.59	7.78	14.91	6.08	12.54	1.23	6.38	0.02	0.03	
0.00	221.63	277.97	232.49	508.31	987.45	2055.43	45.89	81.89	8.91	36.23	41.03	10.38	87.79	139.11	24.34	5.39	9.70	5.65	12.31	0.81	6.37	0.02	0.02	
0.00	83.69	100.96	76.39	186.46	338.35	656.47	16.43	28.47	2.81	15.86	15.40	9.81	54.55	56.63	16.14	2.60	9.86	6.08	11.69	0.30	6.58	0.02	0.01	
0.00	107.29	80.54	78.48	198.10	310.00	647.69	16.29	25.53	3.76	20.05	16.69	9.69	59.48	39.91	13.36	3.11	10.90	6.15	11.46	0.37	7.06	0.01	0.01	
0.00	132.10	112.36	96.71	225.48	379.01	784.23	16.45	34.62	3.89	17.68	22.93	9.66	75.39	56.92	15.32	3.10	9.78	6.30	11.28	0.46	7.45	0.01	0.01	
0.00	141.22	133.05	126.60	329.83	455.16	1096.07	24.16	43.84	5.19	24.14	21.24	9.15	57.73	62.46	13.10	3.09	11.32	6.53	10.42	0.57	7.73	0.01	0.01	
0.00	102.64	109.33	99.74	238.90	344.05	848.43	17.83	35.26	4.05	18.78	21.69	9.61	42.52	50.68	14.10	3.78	12.61	6.14	9.47	0.58	7.85	0.02	0.01	
0.00	153.53	188.01	159.56	388.80	586.35	1431.67	23.42	61.03	5.41	21.48	33.76	10.06	48.32	82.58	13.37	4.04	13.25	5.75	8.93	0.83	7.76	0.02	0.02	
0.00	336.85	297.10	285.18	806.40	962.51	2511.55	58.90	99.58	11.17	55.52	43.36	10.60	105.79	130.99	16.39	5.75	19.45	5.48	9.34	1.28	7.45	0.06	0.02	
0.00	400.49	417.81	368.26	1000.06	1277.30	3251.88	65.25	137.87	12.46	57.05	71.15	12.77	118.27	180.42	16.00	7.83	18.91	5.19	9.45	1.58	6.96	0.05	0.03	
0.00	322.22	329.75	294.54	820.81	1042.79	2597.08	53.27	108.20	10.36	47.75	57.12	12.38	99.75	147.29	12.71	6.80	17.31	4.86	9.56	1.42	6.39	0.03	0.03	
0.00	405.20	489.05	398.63	1169.81	1339.45	3654.74	72.11	158.98	14.47	56.39	90.79	14.60	122.32	195.91	16.58	9.73	19.21	4.92	9.72	2.04	5.80	0.03	0.04	
0.00	327.23	422.41	336.90	959.82	1329.15	3040.92	49.22	133.29	11.35	37.94	87.04	13.73	99.94	181.81	14.33	8.51	17.00	5.23	10.63	2.10	5.04	0.03	0.04	
0.00	137.04	188.80	134.09	401.25	562.68	1241.05	22.09	58.60	5.49	23.75	40.29	9.86	45.02	78.26	7.98	5.50	15.56	5.52	12.49	1.98	4.28	0.02	0.02	
0.00	94.33	125.15	93.13	269.57	375.50	847.45	16.65	37.78	4.32	24.08	29.99	8.31	42.71	50.68	7.73	3.14	13.37	5.54	14.27	2.21	3.71	0.02	0.01	
0.00	42.43	51.70	36.54	141.89	176.90	317.41	10.45	15.73	4.63	15.46	15.84	7.48	33.53	23.82	9.40	3.65	11.88	5.23	15.48	2.42	3.26	0.01	0.01	
0.00	30.78	28.89	19.43	102.03	168.48	162.95	9.68	9.74	3.66	13.02	10.81	6.33	26.10	15.63	5.85	3.77	10.14	4.53	15.64	2.63	2.97	0.01	0.01	
0.00	29.40	20.92	16.35	80.61	123.92	123.95	10.83	10.11	4.30	14.13	9.00	5.57	24.93	12.38	7.75	3.15	8.80	3.52	15.20	2.89	2.56	0.01	0.01	
0.00	30.78	19.11	12.40	74.82	130.92	70.23	8.22	7.94	4.21	16.10	8.60	5.11	24.79	12.98	7.28	2.85	9.09	2.41	14.83	3.08	2.10	0.01	0.01	
0.00	26.91	15.76	12.27	60.75	137.47	59.77	8.18	7.33	4.59	13.24	7.45	4.34	24.15	12.40	7.39	2.94	9.57	1.24	14.72	3.10	2.01	0.01	0.02	
0.00	28.43	17.66	11.68	56.91	123.38	55.12	7.44	7.70	4.83	16.62	8.32	3.59	21.28	11.94	7.52	2.77	9.64	0.46	14.37	2.93	2.21	0.02	0.02	
0.00	25.12	13.55	9.10	42.62	116.00	44.09	9.96	7.54	4.64	15.06	7.51	2.98	23.30	13.13	7.53	2.65	9.11	0.38	13.52	2.59	2.52	0.01	0.02	
0.00	33.14	14.71	10.03	69.62	134.58	42.07	8.51	6.12	4.39	15.02	6.84	2.91	29.87	13.04	8.60	3.21	8.03	0.47	12.40	2.06	2.60	0.01	0.03	
0.00	33.30	15.15	14.90	96.15	115.16	107.76	10.18	7.17	4.13	17.93	7.89	3.04	24.81	11.68	7.11	3.53	8.90	0.33	11.74	1.56	2.33	0.01	0.02	
0.00	70.48	64.94	53.51	293.13	142.94	497.45	17.15	21.15	4.09	20.28	15.56	3.96	32.66	26.93	8.07	4.07	9.06	0.35	12.01	1.19	2.35	0.01	0.02	
0.00	38.95	28.49	12.75	94.04	130.03	83.74	10.63	9.64	2.43	20.70	11.06	3.52	31.66	13.60	9.49	4.69	9.87	0.43	12.38	0.71	2.63	0.01	0.02	
0.00	47.76	71.45	47.54	255.19	130.75	439.76	13.97	23.03	1.71	19.09	18.02	4.27	23.31	27.42	9.95	4.68	9.13	0.31	11.81	0.22	2.87	0.01	0.02	
0.00	40.35	37.77	20.50	106.06	127.66	171.67	11.45	11.27	1.16	17.74	10.22	3.93	22.68	17.58	11.05	4.88	7.79	0.32	9.45	0.21	2.18	0.01	0.03	
0.00	28.85	18.49	11.08	45.29	113.93	48.58	9.00	6.16	0.97	16.83	8.74	3.21	19.25	11.87	9.98	4.74	6.97	0.33	6.92	0.17	2.04	0.01	0.02	
0.00	36.94	26.98	11.48	67.20	133.25	55.47	7.62	7.33	0.85	19.34	11.86	2.46	28.52	16.01	10.40	4.24	5.72	0.35	5.24	0.16	2.21	0.01	0.03	
0.00	35.31	24.08	12.47	53.49	145.37	59.75	7.04	4.69	0.74	20.89	10.56	2.04	20.85	17.10	10.64	4.10	6.07	0.41	3.51	0.15	1.29	0.01	0.03	
0.00	39.68	32.05	14.60	69.78	178.13	74.83	7.13	5.78	0.85	20.31	8.93	1.59	25.17	22.65	14.65	3.90	4.80	0.47	1.79	0.18	0.52	0.02	0.03	
0.00	51.08	44.03	12.46	176.92	298.57	70.71	7.82	6.68	1.01	30.61	8.67	1.51	23.51	22.33	13.39	3.82	7.02	0.53	0.74	0.18	0.23	0.02	0.04	
0.00	56.90	38.79	14.57	185.47	349.02	87.61	7.89	6.71	0.79	33.49	9.25	1.84	28.10	22.79	12.15	3.75	8.21	0.65	0.78	0.22	0.22	0.02	0.04	
0.00	49.07	30.04	12.78	87.25	199.50	85.94	7.28	6.28	0.73	28.00	7.02	1.51	22.12	18.74	10.85	3.32	7.28	0.64	0.65	0.26	0.15	0.02	0.04	
0.00	47.95	31.01	12.30	86.76	194.84	92.86	7.31	7.51	0.89	27.70	7.41	1.75	24.89	19.34	9.20	3.26	7.02	0.82	0.50	0.31	0.17	0.03	0.03	
0.00	43.08	28.15	15.54	103.27	189.09	93.06	7.18	7.16	0.98	24.62	9.04	1.75	19.94	15.50	9.36	3.11	7.60	0.97	0.44	0.31	0.20	0.04	0.02	
0.00	53.51	30.27	15.90	105.58	272.62	113.70	7.61	9.75	0.91	27.23	8.68	1.73	26.49	15.53	7.85	3.52	7.78	0.94	0.54	0.49	0.25	0.03	0.02	
0.00	44.68	25.07	15.69	102.13	174.97	114.44	8.07	12.50	1.52	32.97	7.02	1.66	22.20	12.29	7.08	4.69	12.09	1.24	0.52	0.97	0.30	0.02	0.03	
0.00	51.17	28.40	17.14	95.52	206.64	120.17	9.00	18.33	2.72	34.66	8.18	1.65	20.62	12.48	7.44	6.85	12.79	3.13	0.49	1.70	0.30	0.04	0.03	
0.00	51.41	29.70	17.67	92.25	215.06	117.30	13.04	13.51	3.16	31.37	10.58	2.20	27.26	14.06	7.48	7.80	11.32	4.72	0.45	1.84	0.28	0.05	0.03	
0.00	61.11	28.43	15.24	145.89	231.27	113.03	16.51	14.15	2.43	53.06	11.68	2.34	27.85	14.11	9.20	7.78	13.94	4.41	0.78	2.15	0.30	0.05	0.03	
0.00	69.33	35.01	15.77	95.43	244.16	140.20	16.33	17.43	3.68	40.95	12.81	2.46	31.70	14.81	8.15	11.35	17.67	4.69	0.53	2.15	0.29	0.12	0.06	
0.00	88.71	39.65	19.27	143.53	309.51	166.83	20.22	15.10	4.41	58.27	18.96	4.05	33.87	14.41	8.47	15.26	18.77	5.47	0.85	2.05	0.34	0.22	0.06	
0.00	95.58	55.53	28.05	109.64	341.53	251.03	18.78	23.93	3.11	49.26	18.89	3.97	42.67	19.53	11.54	11.28	23.12	10.22	0.88	2.35	0.39	0.16	0.08	
0.00	101.71	80.48	43.68	205.51	334.50	420.81	16.50	32.36	4.15	51.33	22.34	5.11	48.61	30.06	11.33	12.19	20.84	15.40	0.81	2.95	0.41	0.17	0.06	
0.00	112.32	120.36	83.27	302.37	339.63	788.07	18.20	43.20	7.18	48.58	23.79	5.27	53.37	52.76	13.41	17.77	21.02	15.07	0.83	3.21	0.43	0.11	0.07	
0.00	162.22	150.56	126.95	506.51	370.11	1255.15	39.04	51.15	10.94	50.32	23.46	5.98	57.02	66.23	17.56	18.11	18.17	14.23	1.08	3.80	0.54	0.04	0.05	
0.00	241.46	197.49	204.02	803.10	418.74	2015.97	57.59	65.12	16.28	99.29	28.85	8.20	85.30	84.93	21.43	19.92	27.84	14.73	1.76	4.26	0.90	0.04	0.07	
0.00	140.16	134.77	92.38	412.34	246.19	925.07	26.51	43.22	9.68	64.92	21.30	6.19	97.47	59.48	17.23	20.38	21.07	13.87	1.37	4.45	0.47	0.03	0.07	
0.00	148.15	93.98	81.67	393.05	284.68	787.77	25.67	29.47	8.57	64.86	21.53	8.25	105.33	47.97	18.65	17.76	26.99	13.60	1.50	5.17	0.62	0.02	0.09	
0.00	119.43	142.85	87.56	331.59	184.44	850.27	21.50	45.05	5.94	70.88	22.46	5.85	59.65	63.88	14.37	16.09	22.09	14.49	1.61	5.96	0.39	0.02	0.09	
0.00	102.02	90.97	52.02	219.65	178.78	460.78	17.12	31.68	5.34	45.12	18.43	6.27	63.68	47.07	14.79	14.05	21.78	14.92	1.56	6.68	0.41	0.01	0.10	
0.00	93.75	166.50	114.58	356.91	263.27	1057.94	18.91	56.48	5.26	35.11	32.28	8.48	52.93	72.96	16.57	11.22	18.68	15.20	1.20	7.10	0.48	0.01	0.07	
0.00	109.22	339.76	241.73	711.55	422.91	2327.37	35.86	121.87	7.99	31.19	57.65	11.92	35.49	138.53	20.83	9.80	18.15	15.27	1.46	7.21	0.57	0.01	0.08	
0.00	201.05	395.62	303.92	982.91	523.13	3050.99	56.05	143.47	15.80	83.46	70.13	18.09	51.26	162.86	24.19	9.54	17.67	14.80	1.60	7.00	0.78	0.01	0.07	
0.00	185.90	361.48	273.76	850.07	542.65	2821.82	49.46	128.90	16.09	37.05	58.99	14.31	54.50	153.75	21.05	10.10	16.57	13.84	1.17	7.18	0.69	0.01	0.06	
0.00	192.84	283.66	226.21	714.24	468.58	2322.97	46.31	98.37	13.67	73.18	46.70	12.44	53.56	121.44	20.55	11.12	17.57	12.47	1.63	7.65	0.70	0.01	0.06	
0.00	166.09	199.67	164.92	548.85	422.28	1687.25	34.78	75.20	10.48	74.47	34.32	10.18	45.93	86.72	20.43	11.91	17.91	10.84	1.39	7.73	0.52	0.01	0.06	
0.00	129.91	156.49	126.30	393.98	316.44	1219.55	25.92	53.33	10.00	66.53	30.88	9.99	40.43	75.45	14.97	13.68	16.83	9.58	1.27	7.63	0.43	0.01	0.06	
0.00	127.42	128.80	90.01	318.34	328.29	928.62	18.06	43.70	10.03	71.16	26.09	9.15	36.99	54.36	12.94	14.69	16.69	9.19	1.45	7.54	0.38	0.01	0.07	
0.00	132.94	148.76	117.63	309.52	387.04	1105.00	22.66	51.17	10.52	71.84	32.80	10.46	39.71	60.10	15.49	15.55	18.49	9.62	1.57	7.42	0.45	0.01	0.08	
0.00	125.34	93.65	79.68	257.91	285.40	742.59	20.67	32.53	10.53	72.38	18.64	8.48	39.30	39.67	12.89	15.96	18.39	10.14	1.36	7.11	0.38	0.01	0.07	
0.00	63.59	74.17	56.51	150.56	194.43	521.04	13.32	26.04	10.31	33.67	13.84	6.05	30.83	31.90	12.16	16.22	13.03	10.22	0.77	6.55	0.27	0.00	0.05	
0.00	58.41	57.12	44.14	150.89	197.08	393.77	11.90	19.13	9.87	39.09	13.86	8.29	26.40	28.13	9.95	16.16	15.88	10.13	0.61	5.91	0.34	0.00	0.05	
0.00	50.34	61.03	42.30	119.21	151.43	369.19	12.42	21.32	9.82	30.56	12.71	7.22	26.41	27.72	10.50	15.53	15.09	10.32	0.57	5.12	0.31	0.01	0.05	
0.00	51.73	33.27	22.77	91.47	162.81	186.04	12.19	10.03	8.81	29.94	10.70	6.04	31.00	19.29	8.48	13.89	11.08	10.99	0.45	4.36	0.24	0.01	0.03	
0.00	46.66	30.00	15.70	93.53	166.42	90.44	11.85	8.65	7.57	45.83	9.99	4.15	23.64	17.75	7.46	12.23	7.96	11.83	0.63	3.72	0.19	0.01	0.02	
0.00	46.45	29.10	15.52	90.87	155.44	67.43	11.08	9.83	6.42	29.19	9.21	4.84	27.58	16.48	9.01	10.43	9.97	12.65	0.39	3.33	0.21	0.01	0.03	
0.00	55.12	31.64	14.99	111.29	170.13	67.00	10.45	8.61	5.13	34.92	11.20	4.96	28.57	20.89	10.37	8.42	10.17	13.47	0.50	3.21	0.23	0.02	0.03	
0.00	31.77	29.15	12.51	78.32	123.23	72.12	10.19	7.54	3.96	14.79	5.72	2.51	26.83	25.07	9.87	6.77	4.14	14.08	0.36	3.17	0.18	0.03	0.02	
0.00	29.69	20.90	9.22	71.32	103.82	48.44	10.27	7.63	3.02	10.19	4.14	1.78	21.27	16.96	7.42	6.54	3.48	14.46	0.26	3.08	0.14	0.03	0.01	
0.00	34.23	34.08	11.80	97.19	133.65	83.20	12.79	10.65	3.08	10.00	5.23	2.07	29.59	26.92	9.79	7.14	3.51	14.48	0.36	2.92	0.17	0.05	0.02	
0.00	40.86	49.49	18.69	134.86	172.03	134.74	14.52	16.49	3.99	11.41	7.13	2.31	38.43	41.55	13.92	9.02	3.44	13.78	0.38	2.80	0.16	0.12	0.02	
0.00	35.51	44.35	13.50	63.07	113.23	103.87	10.11	6.28	2.86	8.48	5.13	1.64	34.45	38.22	13.35	6.70	3.01	11.38	0.31	2.31	0.16	0.04	0.01	
0.00	33.38	36.40	10.82	105.57	139.76	80.29	10.85	12.84	3.25	8.44	4.53	1.26	29.48	32.64	9.32	7.30	3.30	9.47	0.29	2.31	0.20	0.08	0.01	
0.00	59.35	94.28	20.53	129.37	207.39	194.10	14.05	12.59	3.57	10.48	5.67	1.42	62.68	81.51	21.25	7.85	4.23	8.41	0.39	2.91	0.23	0.09	0.02	
0.00	64.15	101.65	25.10	180.92	223.83	257.57	18.97	17.91	4.88	8.12	6.51	1.44	70.98	91.35	26.52	8.47	3.76	7.25	0.46	3.67	0.20	0.03	0.02	
0.00	36.12	54.22	17.55	67.00	95.37	182.67	9.69	8.07	2.36	7.70	5.87	1.28	36.12	45.77	13.57	6.13	3.65	4.86	0.34	2.01	0.22	0.02	0.01	
0.00	41.03	63.31	29.40	83.49	138.73	241.63	12.94	10.98	1.95	7.63	8.06	1.34	35.41	48.14	11.84	4.94	4.00	2.62	0.41	0.98	0.23	0.03	0.01	
0.00	73.11	135.01	102.59	184.74	306.75	957.31	26.65	34.92	4.50	14.68	24.20	2.94	43.32	71.80	17.34	4.64	4.92	0.55	0.74	0.45	0.36	0.02	0.03	
0.00	83.80	191.74	140.11	225.93	425.56	1249.95	28.60	52.78	5.25	15.07	33.35	3.97	36.42	87.26	12.00	3.79	4.93	0.57	0.82	0.43	0.50	0.02	0.03	
0.00	48.35	101.18	76.43	129.86	224.15	678.63	14.62	29.52	2.82	8.77	19.23	2.46	21.95	43.25	8.04	2.40	3.78	0.45	0.92	0.30	0.34	0.02	0.04	
0.00	53.90	131.27	100.67	165.82	298.66	893.07	18.96	38.01	3.74	11.36	24.82	3.09	20.46	57.25	8.37	2.75	4.31	0.66	0.99	0.36	0.41	0.02	0.04	
0.00	105.48	225.57	172.28	290.58	517.16	1537.61	32.88	64.57	5.79	16.68	43.49	5.41	39.30	98.23	14.33	3.56	5.11	0.76	1.05	0.58	0.79	0.02	0.05	
0.00	93.57	199.95	146.88	238.28	455.84	1332.68	28.59	54.86	4.88	13.01	39.63	5.21	28.99	87.32	10.21	2.80	3.71	0.56	0.71	0.49	0.63	0.02	0.03	
0.00	55.12	109.11	82.37	158.30	263.74	743.55	18.19	31.28	2.78	7.77	22.36	2.95	19.91	48.26	7.00	2.70	2.22	0.41	0.44	0.30	0.36	0.01	0.02	
0.00	87.26	178.95	135.73	228.20	432.71	1224.63	26.98	51.15	4.23	12.12	37.14	4.62	29.38	76.59	9.89	3.45	3.21	0.37	0.66	0.41	0.51	0.01	0.03	
0.00	143.20	285.75	211.77	396.21	658.70	1912.50	40.24	79.84	6.05	20.75	62.15	7.86	40.55	123.46	17.11	6.14	5.82	0.40	1.77	0.55	0.97	0.02	0.06	
